pitch_id,dv_received_offer,text
S01E07P01,1,"I'm Leslie, Haywood, creator of Grill charms. I'm seeking fifty thousand dollars in exchange for 25% equity in my company. Where I come from, we grill year-round. Now, I don't know if you've ever had this problem, but when you go to a cookout or barbecue and you serve a platter full of food, a lot of times you can't tell, which is which you can't tell which one is real and which ones medium rare or maybe you have a spicy piece of chicken, but you weren't Paired for it and it lights you on fire or maybe you have health or allergy concerns. Well, I have invented a product called Grill charms, that solve all of these problems and more. They are solid, stainless steel charms that you put in your food before you grill, there's four collections for different purposes, the state collection, which is Mr. For medium rare, then you have medium. Well, Etc, then for the spicy collection you have a picture of a pepper on fire if you like it. Hot Hot and then there's two other collections for different purposes. Where do you sell them? I'm in 103. Independent retail stores across the u.s. Canada and Sweden. Who does the selling I'm doing the same sort of one man shops. I am. Can we see a sample of what you speak English? Well I just started here so this past year we did sixty thousand dollars and just to give you an idea about the passion and determination I went from Spicy light bulb moment literally at a dinner party that I hosted to having my product on store shelves in a year and a half in between that time I had a little run-in with breast cancer at the age of 34 so that slowed me up just a little bit slowly up just a little bit."
S01E07P03,0,"I'm the CEO and creative Boogie box Fitness and I'm Kathy I'm Dee Dee's business partner and I am the Chief Operating Officer of Boogie box Fitness. We are looking for 700 thousand dollars to launch our home dvd line in exchange for that funding. We are prepared to offer a seventy percent share in our home DVD business. What? Just saw was a very small sample of a boogie box fitness workout. It's a fusion of hip-hop Latin dance, kickboxing, plyometric movements and hardcore resistance training, all in one. So you're getting twice the work out and have the time City that doesn't look that easy to here and I'll show you right now. Absolutely. Okay, I'm going to show you. I'm a fit guy. I was on a bike this morning. These sharks were not that special but applied muscle resistance, okay? All right. We're using your own body weight. Yeah. And it applied manner who are really built. Don't touch the talent. What I want you to do abs tight, I want you to pretend you have weights in your hands. Okay, I got it. Okay, grab those weights. And what I want you to do is the same thing. Put your elbows out nan squeeze them back down. Yeah, put them out and squeezing back down. Let's go faster up and down up and down. Didn't you look so much better when you do it there? That's called Kick. But nan is how I keep my Adonis figure in shape. You are definitely built like a god Buddha to be exact. I'm gonna go sit down and talk about money now that Let's get started that. You can do it. Do you have any sales right now?"
S01E08P02,1,"and my company is called Treasure Chest pets. I'm seeking a hundred and fifty thousand dollars in exchange for 20% equity in my company. Treasure Chest. Pets is a new patented line of award-winning organizers. That look like stuffed animals for children. The puppy here has a pillow that attaches magnetically with different secret spaces inside, she has pockets in both of her ears. A secret drawer. That's hidden behind the pillow and Pockets. Also, on both sides, As of the Body for storing more goodies. When they're all done playing and storing they put them right back together and it's like a secret. The monkey here is real popular with the boys. His pillow had also attaches magnetically. This one opens up like a treasure chest, instead they're made of foam and that's how they're actually maintaining their shape and the continuity of a toy while doing the function of an organizer. This is, what are they going to retail for am I'm in about 200 stores now we just launched. Actually, I started testing in the mall, I sold 600 Pieces by myself. Working very long hours at 32 1999, testing different price points. How much sales have you done in one year the past year about 100,000 dollars? Lisa, why aren't you in the large retail store? Because you've gone to them and they've said to you what there's three box retailers that sell 60% of the toys in these countries you and I both know that that's right. What do they say? They say to you, I have not brought it to any Mass retailers have been focusing on the boutiques for two reasons. Number one, I haven't had the capital to be able to grow the company at that rate. And I didn't want to put my cart before my horse, so I wanted to make sure we had the right product. The right manufacturers are, why can't you go to the large mass retailer? With those three guys because I'm under capitalized, I've gone I think as far as I can without the next infusion of cash."
S01E09P04,1,"and I am the designer and founder of the Gayla Bentley Fashion Design Group. And I am here tonight to ask you for your wisdom and your experience about the money and good question. 250,000 dollars for a 20% Equity stake in my company, I am representing 60% of the American women that wear a size. L've or larger, you know us will your neighbor, your sister, your friend and we are tired of being discriminated against being forced to shop in the Far Corners of the department stores only to find clothes that don't fit in that. We don't even, like, I've spent the last ten years focusing on building the Gayla Bentley brand modern sizes, for modern women sizes, 12 228, we would like to open our first Gayla Bentley Flag. Store in Houston, Texas. Where I'm very, very popular, like Barbara, if you want I went shopping. How come we have to split? Oh, I'll see you in a little while I'll go upstairs with my flashlight and try to find something to wear. You just stay down here on the first floor where we will help you. Okay, this is why I want to put these type of things on the first floor integrate, the sizes. I've dedicated my life to this for 30 years now, I've been in retail management with Saks Fifth Avenue, only 25, how come nothing like Hutch salling anyway, Concentrate for a woman, is it possible that larger-sized women? And don't beat me with a stick because I'm just trying to find out of them here. All right. I'll try not to don't care about fashion as much. That's why the market doesn't service. My, my, my Gala, beat him with a stick, beat him with a stick, but Gala, I believe the market always serves the man, that's the way the world works,"
S01E10P01,0,"Hi, my name is Michelle so I pulled kapusta this is my sister Melissa Morocco. We have a company called, send a ball and we're here asking for eighty six thousand dollars in exchange for 20% of our company. Send the ball is an internet-based. Greeting company. We ship fully inflated play balls through the mail. No box, no packaging. No bubble wrap delivered by your regular mailman just like an envelope. The Amps and the address go right on the ball and the kicker is so does the greeting like have a ball on your birthday back soon? Getting a ball in the mail is so much fun that most people who get a ball in the mail order a ball for someone else within 48 hours. And that's how we've been able to grow our business. We've been able to ship double the number of balls each year since we started, but the Outsource manufacturing for these balls just can't keep up with what we're doing. So what we need to do is bring the manufacturing of these balls into our little place in Chicago, so that we can fulfill the orders. We just can't seem to fill the orders that we're getting. We need the specialized equipment on site and our Sandoval headquarters. Michelle why 86,000? Why not? Like it seems like such an oddball, We come from a pretty lean growing up and you Only ask for what you really need to ask for more listen to him. So I I have out. So I have done so much research on the equipment that I need. That, I know exactly the amount of money it will take to to build this machine that will make us able to print logos on the ball. What are your total sales? Our sales have been a hundred thousand dollars a year. Walk us through an artist so I call you up"
S01E10P03,0,"name is Nicole Jones and I'm here today to present pillows of slippers. I would like to request From you 150,000 dollars in Return of a, 15 percent equity in this business. Pillows the slippers has kind of like a Tupperware party but we are not selling containers. We are instead thumbing what women love shoes. I am the shoe, but that's all we bring the shoot to you. A home base shoe business when women have the opportunity to get together with all of their girlfriends roll out there. Pink Carpet, pop pop. Open the champagne chocolate strawberries and all the fun things that women love to do. We're talking about affordable. Fantastic uniquely. Designed shoes. There is projected to be in the u.s. 97 million women between the ages of 18 and 64 and guess what? They all have one thing in common. They have feet typically and they love it. So, I would like to know which one of you all are ready to give me that cash. All right? Good good. Wow."
S01E12P04,1,"humason president and founder of the chef and black Incorporated. I'm requesting fifty thousand dollar investment and in return, I'm offering a 10% equity in my company. My product is Jaden, Chinese salad, dressing and seasoning mix, which is a perfect blend of all-natural spices, and seasonings that allows the home cook to make fresh. Chinese salad, dressing and dips, Brooke will now pass out samples to each of you. Of the Jaden Chinese towel dressing. I was on a search for the perfect, Chinese salad dressing and had no success. So, I took the opportunity to develop a product that addresses it. This is a single product, just that one right now, I currently have 1300 grocery stores. So it is on the Shelf next to the dry salad, dressing packets. So there are any is Brick your daughter, by the way. Yes, she is. Yeah, she might be look like sisters. Here's my challenge with food. I used to know nothing about the food business and then I made an investment in it. And I've learned that there are millions of salad dressings, barbecue, sauces, and all kinds of other food stuff and inevitably, it all comes down to market. Share on a shelf in a store. Tell me your plan. How you're going to get this nationally and we're going to sell millions. Of dollars. That is exactly a very legitimate concern and being in the business for 27 years, I know that and for me to quit my job and to do something like this at this stage in my life, I needed to be sure. My wrists were limited, but I have a product that is very popular. Let's go back to the 1300 stories, you're in already. Can you turn that into dollars to me? Because that's all I care about."
S01E14P01,1,"is Jill with Divine Innovations, manufacturer of the hot new item, for women, who wear lipstick the lipsticks, remix, I would like to offer you today 30% Equity stake in the company in exchange for one hundred and five thousand dollars. This is lipsticks remix it's a one-of-a-kind system, it's not available anywhere else in the market. It includes this lipstick mold, which is the secret weapon to creating beautiful lipsticks, at home and a few minutes in your kitchen. The reason why Why I needed this product so badly is because I had personally over $250 worth of lipstick that I couldn't wear, I get down to the bottom of that. To there's one third of my lipstick that doesn't twist up many. Women are wasting that now with lipsticks remix. I could take a couple of those colors mix them together and create a beautiful shade that I love. Now is the time to take lipsticks remix and three tubes of your favorite color and that's enough lipstick to make a brand new tube for free chill. How does it work? Let me show you real quick to take the colors. You want to mix together just put them in your measuring cup. Now, you put this in the microwave for 45 seconds, you're going to end up with this. Okay? You take your lipstick molds, it's really easy, just fill it up to the top there and that goes in the freezer for 10 minutes. I do have one that's already ready here for us. This is the really exciting part. Okay, you just pop off the top. Okay. So all you do is you turn it upside down and you're ready to pull it out of the tube. And as you can see, it twist up and down and looks like a brand new tube of lipstick doesn't fall out. I be able to tell the difference between new lipstick and nuked lipstick. Well, in fact, you would not the major manufacturers. Heat and reheat their lipstick all the time. You know?"
S01E15P01,1,"Hello. My name is Jan Augustine and I'm from Yellow Springs, Ohio. My product is fridge fronts, and I'm asking for 100,000 in exchange for 30% of my company. I was living in base housing in 1999 and we had a hideous refrigerator, you really don't want to have something that you're not in love with in your home. Jen. Just out of curiosity. What's base housing? Oh, military base housing. I was an Air Force wife and I lived on a military base and they provide housing for you and bad fridges. Yes, so I came up with the idea because we had an appliance, very similar to this. In fact, this probably could have been it. So my product fridge fronts is a magnetic skin. It's a decorative finish and you can easily cut it with scissors and apply to any Appliance. Just like that's very easy to do. Let me give you an example. So in this economy, you may have a fridge that works but that's just unattractive. And unappealing, you can go ahead and purchase this for, under $100 and change the complete look of your Appliance. I also have other designs. Most people like stainless. So I have stainless finish, I can do decorative finishes, anything just funky, we can get crazy, the possibilities. You're completely endless. Jen, do you have any sales? Yes, I started in 05. We got our patent at that time. And the first thing we did was SkyMall. So I think we did 40,000 in sales. Did you have to pay for that space and SkyMall? Yes, I did. You have about 18,000 so you on 18,000 you generated 40,000 sales. Yes. Was that about a break-even for you give or take, or do you make a little bit of money? Well, know what had happened is, we were sort of at the mercy of our print house and they had quoted a price for us. We signed all the paperwork. They came back a couple months later before, it went into the catalog and charged us an additional $10."
S01E15P03,0,"name is April Morris. I'm the creator of thin glass. I'm seeking an eighty thousand dollar investment in exchange for 20% Equity stake in my company. Several years ago, I attended a Christmas party and I discovered that two ladies at the party that I had met referred to me as chubby. So I began to take diet pills, they seem to work but the side effects were making me jittery and I just couldn't fall asleep at night. So I stopped taking them sometime later. I was driving in my car. Car. And I began to reapply my lip gloss in the rearview mirror sitting at a red light waiting on the light to change. And that's when the idea came to me, I thought, oh my gosh, I wonder if there's a smell or an herb or something that you can put in a lip gloss that may help to curb my appetite or at least make me feel better. So I began to do a ton of research and I discovered, hoodia hoodia is a herb from South Africa that has been known to fool your brain into believing you're full. I Other studies on other Aromas when inhaled they help to enhance energy and boost your mood. So I started the development by combining all of these ingredients into one product which is thin glass. Then gloss has Three Steps step one, you actually inhale the aroma through the nose 30 minutes, before you eat step to it. You actually apply it liberally all over the lips. XO and step 3, smile, and enjoy the benefits. If your what are your sales today? Day 26 thousand at the end of last year. What do you want track for? For this year, actually, my personal goal is to do 1 million dollars in gross sales by July 1st 2010, okay? But this so far this year 18,000 18,000 tomorrow you may not get to last year's trip is right with some new things coming up and in the works. I'm for certain that it's going to get there. So April, you do you have any kind of clinical studies on the product that will allow you to make those claims? I've"
S02E01P02,1,"Megan Riley and we are seeking an investment of 30,000 dollars. In exchange for 5% stake of our children's Dance Company tippy toes. One in five children in America are obese an 80% of elementary schools have cut. Recess are fun kid-friendly high-energy dancing and music. Gets a kids moving and feeling good about themselves. Okay, kids, you ready to do some dancing? And everybody starts right now. We need you guys to dance your way out of here, before one of these sharks, try to bite you. Thank you. As a former professional dancer myself and Megan being a registered dietitian. We focus our business on physical activity, healthy habits, and most Currently the kids, having fun. And in 2009, we began franchising our business. So we could reach as many kids as possible. And as long as people keep having babies, we're always going to have customers now, which one of you sharks is ready to invest in US. You said you sold? 70 franchises. I hear that Batman franchise has. Tell us a little bit more about that. What do you charge? It's"
S02E02P01,1,"Nikki. My company is toy Guru and I am asking for 100,000 dollars, in exchange for 10% of my company, toy Guru solves. A problem that millions of families face every day, I have 11 brothers and sisters and I am lucky enough to have 13 outstanding nieces and nephews all under the age of eight. One thing that I've noticed is that my siblings are purchasing toy after toy for their kids, their playrooms. Their Living rooms. Their bedrooms are cluttered with toys that were purchased played with for a few weeks and now are left completely untouched toy, grew solves that problem and more. My company is the Netflix for toys. Consumers can go to my website, pick a plan, that's right for them fill their wish list with toys that they would like to receive. And I ship those toys right to their door. The great thing about my company is when their kids get bored with her outgrow those toys, they just throw them in the box. Is the return label that we provided send them back to us and we send them their next box of toy. It's just your smile. I just want to see what the quality is like, absolutely how many toys are in your catalog. We have over 300 different types of toys. What is the servicing of it? You know, the toys come back. Obviously, kids are not the cleanest. So you got Drool on the toys, you have bed bugs. Would they have peepee and poopoo on the toys? Maybe it has to be a process. People have to be hired to do this with our company. The cleaning is the most important. And so that the The toy get sanitized, it's gonna shrink wrap it and we shrink wrap it. Every time I was just doing this new fee, there is not another company, that is dangerous. So Nikki, what about the damage in six months, we had Zero toys that we had to completely replace. If a child does break the toy, we sell it to the member at a discounted cost. Nikki walk us through your business model. How do you make money,"
S02E03P01,1,"my name is Kirsten Hathcock and my company is mod mom furniture and I'm seeking 90,000 dollars in exchange for 25% Equity. If someone would have told me 10 years ago that I would have an internationally known furniture company, out of my garage, I would have said, they're absolutely crazy because 10 years ago, I didn't even know what a jigsaw was. But just three years ago, we needed a toy box and we looked on the market. We wanted it to fit in with our modern style. Couldn't find anything. So, I Myself how to design and build modern toy boxes, I wanted to make them eco-friendly and I wanted to make them so that they would look good. And they would also be really fun for kids, so I designed them to have a puzzle piece lid. So the kids would actually be more enticed to want to go and put toys away with just the whole point between box to begin with the demand is there, please join me in making mod mom Furniture? The next million dollar furniture join me in telling me about your sales. Sure. Last year, I made 34 thousand dollars. Now this This was me being capped at basically building three a week. I'm pretty much covered in sawdust, daily, I can't keep up with the orders. I'm getting orders from celebrities. I've turned away retailers from 17 different countries. I just want to be clear. You're building all this by hand by hand. When yourself my son got dress. No nor the heels. It's a good thing for me. Thank you. How did you learn? I taught myself. I'm kind of that person. I die my own hair. I taught myself. How to do website design. It's something that I just do. That is so I figured impressive. Think you can do that. Thank you. What to make one of those including your time or have you hired somebody me to build including my time? This one would be about $115. What does each piece sell for this peace sells for 475 and that includes shipping? How long does it take you to make one box? How many hours in"
S02E05P01,0,"my name is Deidre Hazel. My company is hot mama gowns and I'm seeking thirty thousand dollars in exchange for 20% equity in my company. For years ago, when I gave birth to my first child, it should have been the most beautiful day of my life. But instead, I have terrible memories, a feeling humiliated. And insecure all because I was wearing a nasty chemical smelling ill-fitting hospital gown, the left my body exposed actually had to wear two gowns one in the front, one in the back. To somewhat cover my backside, I swore on that day for years ago, that no woman should ever have to feel humiliated. Like I did on such a joyous day in her life. So I designed hot mama gowns. They're made of 100% organic cotton. They're super soft. They have short sleeves for IVs and blood pressure checks. They have a full snap down back to keep mom's assets. Cover, and they're designed for breastfeeding hot mama gowns. Allow mom to feel beautiful celebration. Grated and confident she's not an ill Hospital patient. She has a beautiful pregnant mother and what she's wearing should reflect that joy. And that's precisely why I designed hot. Mama gowns. Who cares? How you look? He just had a baby look. It's about me and being humiliated among these total strangers. How many women have a baby every year? This is why it's so exciting. It's a 4.5 billion dollar market maternity. It is experience. 12% growth. Every year since 2002? What are your sales 11,500 over? What period of time? That's from 2009 to currently. Now you understand that asking for thirty thousand dollars for twenty percent, you're basically saying your company is worth a hundred and fifty thousand dollars. Absolutely. And I'll tell you why I'm not standing in front of you with a silver spoon in my mouth, I've been working since I was 13 years old. I have a full-time job while I'm doing this at night after the kids, go to bed after I work, my 40-hour a week job. We"
S02E05P03,1,"I'm so excited to be here. It's so nice to meet y'all. My name is Kim Nelson and I'm from Spartanburg, South Carolina and my company is Daisy cakes. I'm asking for 50,000 dollars in exchange for 25% equity in my company. My Daisy cakes are the best cakes that you will ever put in your mouth. They are my family recipes. They are made from scratch. We don't use any preservatives artificial flavors in our cakes and the best part. We deliver them to you, I can't wait for you to taste them. why was that ever? Good. Very good. So the carrot cake, my number one seller. Fantastic. By the way, we put a whole pound of carrots in every cake. Also some golden raisins and just a hint of cinnamon and then a delicious cream cheese. Icing red velvet cake, the southern holiday tradition, of course, and then Kevin you had the lemon first time at. That's my newest cake, and it's cream cheese icing, but it has a fresh lemon curd in it. So we hands a stand juice. The lemons, we use cage-free eggs. Sugar, that's it. How do you get them out to the customers? So, you would call me or go on my website and then I shift them Nationwide and we pack them with dry ice. So they're frozen and then you can take it out and enjoy a little bit at a time. If you want to, or you can have the whole cake at once. If you need it for any event, what do you sell these cakes for online? They're 4450. So the pretty pricey. What does it cost you to make? One $18, how did you get involved in the cake? Business. Well, honestly it is, it is my god-given talent from having done catering, and taught cooking classes. So I decided to just start the company and so Kim. The cakes are fantastic. Best cakes. I've tasted"
